23,Diploma Courses,ADCA,Advance diploma in computer application,One Year,..,6500
24,Diploma Courses,DCA,Diploma in computer application,Six Month,..,3000
25,Diploma Courses,DFA,Diploma  In Financial Accounting,Six Month,",,",3600
26,Tution Courses,CCC,Course On Computer Concepts,3.month,..,2000
27,Tution Courses,TALLY,Tally,Three Month,..,1800
28,Tution Courses,Ms. office package,Microsoft Office Package,Three Month,..,2000
29,Tution Courses,Tally $Excel,Tally With Microsoft Excel,3.month,..,2000
31,Tution Courses,TYPING,Typing,60.Days,Hindi $ English,1000
32,Distance Courses,BA,Bachelor of Arts,3. Years,..,7300
34,Distance Courses,BCA,Bachelor Of Computer Application ,3. Years,..,16700
37,Diploma Courses,PGDCA,Post Graduate Of Diploma In Computer Application,1.Years,..,16200
39,Distance Courses,BBA,Bachelor of  Business Administration,3. Years,..,19500
46,Regular Courses,MBA,Master Of Business Of Administration,2.Years,MM/HRM/FIN,29700
47,Tution Courses,English Speaking Class,English Speaking  Class,Six Month,..,3500
48,Regular Courses,MA,Master Of Arts,2.Years,..,10200
51,Regular Courses,B.SC (Ag.),Bachelor Of Science,3. Years,Agriculture,14700
52,Distance Courses,B.SC,Bachelor Of Science,3. Years,..,15200
53,Distance Courses,B.COM,Bachelor Of Commerce,3. Years,..,9700
54,Regular Courses,B.COM,Bachelor Of Commerce,3. Years,..,8700
55,Regular Courses,M.COM,Master Of Commerce,2.Years,..,11800
